repeat,fold,test_auroc,test_auprc,test_acc,test_ppv,test_sensitivity,test_specificity,test_f1,test_sen_99spe,test_threshold_99spe,test_ppv_threshold_99spe,test_acc_99spe,test_f1_99spe,test_sen_98spe,test_threshold_98spe,test_ppv_threshold_98spe,test_acc_98spe,test_f1_98spe,test_sen_95spe,test_threshold_95spe,test_ppv_threshold_95spe,test_acc_95spe,test_f1_95spe
1,1,0.9308336366945759,0.9432497021960802,0.825503355704698,0.8589743589743589,0.8170731707317073,0.835820895522388,0.8375,0.4268292682926829,0.9357508,1.0,0.7084146341463414,0.5982905982905983,0.4268292682926829,0.9357508,1.0,0.7034146341463414,0.5982905982905983,0.5853658536585366,0.828309,0.96,0.7535038223516564,0.7272727272727273
1,2,0.9038461538461539,0.9368330558918728,0.785234899328859,0.9642857142857143,0.6428571428571429,0.9692307692307692,0.7714285714285715,0.5238095238095238,0.6745013,1.0,0.756904761904762,0.6875,0.5238095238095238,0.6745013,1.0,0.7519047619047619,0.6875,0.5595238095238095,0.6317284,0.9791666666666666,0.7474542124542125,0.7121212121212122
1,3,0.9036630036630037,0.938862097484592,0.825503355704698,0.9393939393939394,0.7380952380952381,0.9384615384615385,0.8266666666666667,0.5476190476190477,0.8877484,1.0,0.7688095238095238,0.7076923076923077,0.5476190476190477,0.8877484,1.0,0.7638095238095238,0.7076923076923077,0.6785714285714286,0.6411709,0.9661016949152542,0.7996703296703296,0.7972027972027972
1,4,0.9327154772937905,0.9527026549092068,0.8716216216216216,0.9571428571428572,0.8072289156626506,0.9538461538461539,0.8758169934640523,0.3253012048192771,0.9822407,1.0,0.6576506024096386,0.4909090909090909,0.3253012048192771,0.9822407,1.0,0.6526506024096386,0.4909090909090909,0.7108433734939759,0.6558241,0.9672131147540983,0.8158063021316033,0.8194444444444444
1,5,0.9104779411764706,0.918852658246834,0.831081081081081,0.8571428571428571,0.825,0.8382352941176471,0.8407643312101911,0.1125,0.9937922,1.0,0.55125,0.20224719101123595,0.1125,0.9937922,1.0,0.54625,0.20224719101123595,0.6125,0.8480083,0.9607843137254902,0.7672794117647059,0.7480916030534351
2,1,0.8813186813186813,0.9202368854812555,0.7919463087248322,0.8732394366197183,0.7380952380952381,0.8615384615384616,0.8,0.4642857142857143,0.96704715,1.0,0.7271428571428571,0.6341463414634146,0.4642857142857143,0.96704715,1.0,0.7221428571428572,0.6341463414634146,0.5833333333333334,0.8561533,0.9607843137254902,0.752051282051282,0.725925925925926
2,2,0.9100837277029485,0.9265729183263269,0.825503355704698,0.9242424242424242,0.7439024390243902,0.9253731343283582,0.8243243243243243,0.23170731707317074,0.9814455,1.0,0.6108536585365854,0.37623762376237624,0.23170731707317074,0.9814455,1.0,0.6058536585365853,0.37623762376237624,0.6707317073170732,0.66129684,0.9482758620689655,0.7890971969421187,0.7857142857142857
2,3,0.9194139194139194,0.9431695356233103,0.7919463087248322,0.8840579710144928,0.7261904761904762,0.8769230769230769,0.7973856209150327,0.5595238095238095,0.8085886,1.0,0.7747619047619048,0.7175572519083969,0.5595238095238095,0.8085886,1.0,0.7697619047619048,0.7175572519083969,0.6309523809523809,0.69179547,0.9814814814814815,0.7831684981684981,0.7681159420289855
2,4,0.9145015662428597,0.9354442086626051,0.8581081081081081,0.875,0.8641975308641975,0.8507462686567164,0.8695652173913043,0.2222222222222222,0.9944069,1.0,0.606111111111111,0.36363636363636365,0.2222222222222222,0.9944069,1.0,0.6011111111111112,0.36363636363636365,0.654320987654321,0.8582778,0.9636363636363636,0.7879813893495485,0.7794117647058824
2,5,0.9403178122690318,0.9582837309883957,0.8648648648648649,0.9696969696969697,0.7804878048780488,0.9696969696969697,0.8648648648648649,0.5365853658536586,0.7612359,1.0,0.7632926829268293,0.6984126984126984,0.5365853658536586,0.7612359,1.0,0.7582926829268293,0.6984126984126984,0.7926829268292683,0.47516787,0.9701492537313433,0.8569475240206947,0.87248322147651
