repeat,fold,test_auroc,test_auprc,test_acc,test_ppv,test_sensitivity,test_specificity,test_f1,test_sen_99spe,test_threshold_99spe,test_ppv_threshold_99spe,test_acc_99spe,test_f1_99spe,test_sen_98spe,test_threshold_98spe,test_ppv_threshold_98spe,test_acc_98spe,test_f1_98spe,test_sen_95spe,test_threshold_95spe,test_ppv_threshold_95spe,test_acc_95spe,test_f1_95spe
1,1,0.905223880597015,0.8426283824718197,0.8850574712643678,0.8571428571428571,0.6,0.9701492537313433,0.7058823529411765,0.55,0.604714,1.0,0.77,0.7096774193548387,0.55,0.604714,1.0,0.765,0.7096774193548387,0.6,0.46836153,0.8,0.753731343283582,0.6857142857142857
1,2,0.9328358208955224,0.8295914238396513,0.8390804597701149,0.7142857142857143,0.5,0.9402985074626866,0.5882352941176471,0.35,0.80482554,1.0,0.6699999999999999,0.5185185185185185,0.35,0.80482554,1.0,0.665,0.5185185185185185,0.4,0.6217548,0.7272727272727273,0.6537313432835821,0.5161290322580645
1,3,0.9181818181818182,0.8511833213010229,0.8850574712643678,0.8,0.7272727272727273,0.9384615384615385,0.7619047619047619,0.5,0.6995823,1.0,0.745,0.6666666666666666,0.5,0.6995823,1.0,0.74,0.6666666666666666,0.6363636363636364,0.5490969,0.8235294117647058,0.7712587412587413,0.717948717948718
1,4,0.9216783216783216,0.8428614765226388,0.9080459770114943,0.85,0.7727272727272727,0.9538461538461539,0.8095238095238095,0.18181818181818182,0.86228204,1.0,0.5859090909090909,0.3076923076923077,0.18181818181818182,0.86228204,1.0,0.5809090909090909,0.3076923076923077,0.6363636363636364,0.6030174,0.875,0.7785664335664335,0.7368421052631579
1,5,0.9674242424242423,0.9023937763875847,0.8837209302325582,0.6923076923076923,0.9,0.8787878787878788,0.782608695652174,0.4,0.9256458,1.0,0.6950000000000001,0.5714285714285714,0.4,0.9256458,1.0,0.69,0.5714285714285714,0.75,0.7341122,0.8823529411764706,0.8356060606060606,0.8108108108108109
2,1,0.9171641791044776,0.8198994626842755,0.8390804597701149,0.7142857142857143,0.5,0.9402985074626866,0.5882352941176471,0.0,inf,0.0,0.495,0.0,0.0,inf,0.0,0.49,0.0,0.45,0.5117563,0.75,0.6787313432835821,0.5625
2,2,0.9213564213564213,0.8626016196024426,0.8735632183908046,0.8125,0.6190476190476191,0.9545454545454546,0.7027027027027027,0.5238095238095238,0.7554908,1.0,0.756904761904762,0.6875,0.5238095238095238,0.7554908,1.0,0.7519047619047619,0.6875,0.6190476190476191,0.5437441,0.8666666666666667,0.7701298701298701,0.7222222222222222
2,3,0.9055944055944056,0.8241065924726023,0.896551724137931,0.8823529411764706,0.6818181818181818,0.9692307692307692,0.7692307692307693,0.2727272727272727,0.8234751,1.0,0.6313636363636363,0.42857142857142855,0.2727272727272727,0.8234751,1.0,0.6263636363636363,0.42857142857142855,0.2727272727272727,0.8234751,1.0,0.6113636363636363,0.42857142857142855
2,4,0.9365079365079365,0.8555435521385009,0.8735632183908046,0.8125,0.6190476190476191,0.9545454545454546,0.7027027027027027,0.42857142857142855,0.62912387,1.0,0.7092857142857143,0.6,0.42857142857142855,0.62912387,1.0,0.7042857142857143,0.6,0.5714285714285714,0.5166285,0.8571428571428571,0.7463203463203463,0.6857142857142857
2,5,0.9166666666666666,0.7917448909094824,0.872093023255814,0.6956521739130435,0.8,0.8939393939393939,0.7441860465116279,0.2,0.92259413,1.0,0.595,0.3333333333333333,0.2,0.92259413,1.0,0.59,0.3333333333333333,0.65,0.6483076,0.8125,0.7784090909090909,0.7222222222222222
